input,target
The building and the surrounding park were u_ed for many public pur_oses throughout the ea_ly 20th century .,The building and the surrounding park were used for many public purposes throughout the early 20th century .
"The Tower Building served as headquarters for the United Confederate Veterans [LINE_GAP] 15 – 18 , 1911 .","The Tower Building served as headquarters for the United Confederate Veterans Reunion , May 15 – 18 , 1911 ."
Later the building served as an armory for the Arkansas [WORD_GAP] Gu_rd .,Later the building served as an armory for the Arkansas National Guard .
"In [WORD_GAP] , the second floor [WORD_GAP] the Tower [WORD_GAP] became Little [WORD_GAP] [WORD_GAP] first public library .","In 1912 , the second floor of the Tower Building became Little Rock 's first public library ."
"In 1_17 , Little Ro_k built a fi_e station in the park , t_at building is now gone .","In 1917 , Little Rock built a fire station in the park , that building is now gone ."
[WORD_GAP] band [WORD_GAP] named for H.,A band shell named for H.
"Foster also was built in [WORD_GAP] park duri_g this time , but also no longer exists .","Foster also was built in the park during this time , but also no longer exists ."
In 1936 [WORD_GAP] Works Progress [WORD_GAP] built the [WORD_GAP] of Fine Arts [WORD_GAP] now called the Arkansas Arts Center [WORD_GAP] just south of the Tower Building .,"In 1936 , Works Progress Administration built the Museum of Fine Arts , now called the Arkansas Arts Center , just south of the Tower Building ."
The arsenal was list_d in the National Register of Historic Places in 1970 .,The arsenal was listed in the National Register of Historic Places in 1970 .
"Due to its [WORD_GAP] with [WORD_GAP] Camden Expedition of 1864 , the arsenal may be included in the Camden Expedition S_tes National Histo_ic Landmark designa_ed [WORD_GAP] 1994 .","Due to its association with the Camden Expedition of 1864 , the arsenal may be included in the Camden Expedition Sites National Historic Landmark designated in 1994 ."
"In 1_42 , the Tower Building was ren_vated due to the efforts of the Æsthe_ic Club , Little R_ck philanthropist Frederick W.","In 1942 , the Tower Building was renovated due to the efforts of the Æsthetic Club , Little Rock philanthropist Frederick W."
"Allsop , [WORD_GAP] the Wo_ks Progress Administration .","Allsop , and the Works Progress Administration ."
"It became the new home of The Arkansas Museum of Na_ural History and Antiqu_ties , which had been located in Little R_ck City Hall .","It became the new home of The Arkansas Museum of Natural History and Antiquities , which had been located in Little Rock City Hall ."
[WORD_GAP] area surrounding the Tower Building had [WORD_GAP] known as Arsenal Park when [WORD_GAP] [WORD_GAP] decommissioned and then later renamed City Park .,The area surrounding the Tower Building had been known as Arsenal Park when the first decommissioned and then later renamed City Park .
"Due to the efforts of Bernie Babcock , however , the city finally named it MacArthur Park in 1_42 in honor of Doug_as MacArthur .","Due to the efforts of Bernie Babcock , however , the city finally named it MacArthur Park in 1942 in honor of Douglas MacArthur ."
The new [WORD_GAP] was relocated [WOR__GAP] a [WORD_GAP] building in the [WORD_GAP] Rock River Market District [WORD_GAP],The new museum was relocated to a historic building in the Little Rock River Market District .
The MacArthur M_seum of Arkansas Military History [WORD_GAP] on May 19 [WORD_GAP] 2001 in the Tower Building .,"The MacArthur Museum of Arkansas Military History opened on May 19 , 2001 in the Tower Building ."
Cicely Ma_y Barker ( 28 Ju_e 1895 – 16 February 1_73 ) was an English illustrator best known for a series of fantasy illustrations depicting fairies and flowers .,Cicely Mary Barker ( 28 June 1895 – 16 February 1973 ) was an English illustrator best known for a series of fantasy illustrations depicting fairies and flowers .
Barker 's art educat_on began in gir_hood w_th correspond_nce courses and in_truction at the Croydon School of Art .,Barker 's art education began in girlhood with correspondence courses and instruction at the Croydon School of Art .
"Her earliest professional work included greeting [WORD_GAP] and juvenile magazine illustrations , [WORD_GAP] her first book [WORD_GAP] F_ower Fairies of the Spring , was published in 1923 .","Her earliest professional work included greeting cards and juvenile magazine illustrations , and her first book , Flower Fairies of the Spring , was published in 1923 ."
Similar books were publi_hed in the following decades .,Similar books were published in the following decades .
"Bark_r was a devout Anglican , and donated her artworks to Christian fundraisers and missionary organizations .","Barker was a devout Anglican , and donated her artworks to Christian fundraisers and missionary organizations ."
She designed a stain_d glass window [WORD_GAP] St.,She designed a stained glass window for St.
"Edmund 's Church , Pitlake , and her painting of the Christ Child , [WORD_GAP] Darling [WORD_GAP] the [WORD_GAP] [WORD_GAP] [WORD_GAP] [WORD_GAP] was purchased by Queen Mary .","Edmund 's Church , Pitlake , and her painting of the Christ Child , The Darling of the World Has Come , was purchased by Queen Mary ."
"[WORD_GAP] was equally proficient in watercolour [WORD_GAP] pen [WORD_GAP] ink , [WORD_GAP] [WORD_GAP] and [WORD_GAP] .","Barker was equally proficient in watercolour , pen and ink , oils , and pastels ."
She claimed to paint [WORD_GAP] and rejected artistic [WORD_GAP] .,She claimed to paint instinctively and rejected artistic theories .
Barker died in 1973 .,Barker died in 1973 .
"Barker [WORD_GAP] an epileptic as [WORD_GAP] [WORD_GAP] , and cared for at home by her parents .","Barker was an epileptic as a child , and cared for at home by her parents ."
"Later , her s_ster and elder by two years , Dorothy Oswald Ba_ker , continued the care .","Later , her sister and elder by two years , Dorothy Oswald Barker , continued the care ."
"[WORD_GA_] fa_ily of four was [WORD_GAP] well off , and belonged [WORD_GAP] the lower end of the upper [WORD_GAP] class .","The family of four was moderately well off , and belonged to the lower end of the upper middle class ."
"A [WORD_GAP] , a governess , and a cook [WORD_GAP] prepare special meals for [WORD_GAP] were [WORD_GAP] .","A nanny , a governess , and a cook to prepare special meals for Barker were hired ."
"Barker took correspondence courses in art , [LINE_GAP] 1919 .","Barker took correspondence courses in art , probably until about 1919 ."
"In 1908 at [WORD_GAP] years , she entered an evening class at the Croyd_n School of Art , and attended the school into the 1940s .","In 1908 at 13 years , she entered an evening class at the Croydon School of Art , and attended the school into the 1940s ."
"In time , she received a teaching position .","In time , she received a teaching position ."
"[WORD_GAP] [WORD_GAP] 1911 , she won [WORD_GAP] prize in the Croydon Art [WORD_GAP] 's poster competition [WORD_GAP] [WORD_GAP] shortly [WORD_GAP] [WORD_GAP] [WORD_GAP] the youngest [WORD_GAP] of [WORD_GAP] Society .","In October 1911 , she won second prize in the Croydon Art Society 's poster competition , and shortly afterward was elected the youngest member of the Society ."
"The art critic for the Croydon Advertiser remarked , "" [LINE_GAP] remarkable freedom of spirit .","The art critic for the Croydon Advertiser remarked , "" Her drawings show a remarkable freedom of spirit ."
She has distinct [WORD_GAP] .,She has distinct promise .
Her sister Dorothy taught kindergarten in [LINE_GAP] schools before opening a kindergarten at home .,Her sister Dorothy taught kindergarten in two private schools before opening a kindergarten at home .
She brought in some money for the family 's [WORD_GAP] while supervising the [WORD_GAP] .,She brought in some money for the family 's support while supervising the household .
Queen Mary made such themes even more popular [WORD_GAP] sending Outhwaite pos_cards to friends during the 1920s .,Queen Mary made such themes even more popular by sending Outhwaite postcards to friends during the 1920s .
"In 1918 , Barker produced a postcard series depicting elv_s and fairies .","In 1918 , Barker produced a postcard series depicting elves and fairies ."
"In 1923 , Barker [LINE_GAP] paintings to various publishers .","In 1923 , Barker sent her flower fairy paintings to various publishers ."
Barker had a studio b_ilt in the garden and her sister conducted a kindergarten in [WORD_GAP] room at the back of the h_use [WORD_GAP],Barker had a studio built in the garden and her sister conducted a kindergarten in a room at the back of the house .
The family l_ved frugally and [WORD_GAP] both St.,The family lived frugally and attended both St.
"Andrew 's in Croydon – "" low "" churches for the less privil_ged .","Andrew 's in Croydon – "" low "" churches for the less privileged ."
